"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4341375,"p","dato provvisorio"
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",125501,"p","dato provvisorio"
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1543127,"p","dato provvisorio"
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",10103969,"p","dato provvisorio"
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",532080,"p","dato provvisorio"
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",542739,"p","dato provvisorio"
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4907704,"p","dato provvisorio"
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1211357,"p","dato provvisorio"
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4467118,"p","dato provvisorio"
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3722729,"p","dato provvisorio"
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",880285,"p","dato provvisorio"
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1518400,"p","dato provvisorio"
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5865544,"p","dato provvisorio"
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1305770,"p","dato provvisorio"
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",302265,"p","dato provvisorio"
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5785861,"p","dato provvisorio"
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4008296,"p","dato provvisorio"
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",556934,"p","dato provvisorio"
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1924701,"p","dato provvisorio"
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4968410,"p","dato provvisorio"
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1630474,"p","dato provvisorio"
